STATION_NAME,PGA_VALUE,PGA_LN_SIGMA,LATITUDE,LONGITUDE,STATION_ID,STATION_TYPE,REFERENCES,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
TCG0061103111446,0.3850040533719472,0.0,36.7638,140.1295,TCG006,seismic,Stations_NIED,,,,,,,,,,,,
CHB0011103111446,0.3814962295993031,0.0,35.9571,139.8731,CHB001,seismic,Stations_NIED,,,,,,,,,,,,
FKS0111103111446,0.3808803210066645,0.0,37.0917,140.9031,FKS011,seismic,Stations_NIED,,,,,,,,,,,,
MYG0081103111446,0.3795526504973672,0.0,38.5769,141.4514,MYG008,seismic,Stations_NIED,,,,,,,,,,,,
KNG2061103111446,0.3747620237287969,0.0,35.0966,139.3778,KNG206,seismic,Stations_NIED,,,,,,,,,,,,
FKS0121103111446,0.3626865443347122,0.0,36.9066,140.7928,FKS012,seismic,Stations_NIED,,,,,,,,,,,,
GNM0091103111446,0.3605206670983471,0.0,36.4105,139.3253,GNM009,seismic,Stations_NIED,,,,,,,,,,,,
FKS0131103111446,0.3603493547745668,0.0,37.0893,140.5546,FKS013,seismic,Stations_NIED,,,,,,,,,,,,
MYG0171103111446,0.3561522028419497,0.0,37.976,140.7822,MYG017,seismic,Stations_NIED,,,,,,,,,,,,
IBR0111103111446,0.3496627288625581,0.0,36.1256,140.0901,IBR011,seismic,Stations_NIED,,,,,,,,,,,,
TCGH151103111446,0.3492324086206814,0.0,36.5595,139.8637,TCGH15,seismic,Stations_NIED,,,,,,,,,,,,
IWT0111103111446,0.3487092942034237,0.0,39.1453,141.1527,IWT011,seismic,Stations_NIED,,,,,,,,,,,,
IWTH181103111446,0.3391678095985893,0.0,39.463,141.6775,IWTH18,seismic,Stations_NIED,,,,,,,,,,,,
FKS0241103111446,0.336082148338118,0.0,37.3963,140.1326,FKS024,seismic,Stations_NIED,,,,,,,,,,,,
IWT0171103111446,0.3359842555816721,0.0,39.6339,141.4379,IWT017,seismic,Stations_NIED,,,,,,,,,,,,
IWT0211103111446,0.3347646749909505,0.0,39.9203,141.0822,IWT021,seismic,Stations_NIED,,,,,,,,,,,,
FKS0031103111446,0.3339896906690873,0.0,37.7624,140.4781,FKS003,seismic,Stations_NIED,,,,,,,,,,,,
FKSH161103111446,0.3320297961077438,0.0,37.7643,140.3766,FKSH16,seismic,Stations_NIED,,,,,,,,,,,,
IWTH221103111446,0.3313394482315577,0.0,39.334,141.3015,IWTH22,seismic,Stations_NIED,,,,,,,,,,,,
IWT0081103111446,0.3300362509113719,0.0,39.0815,141.7093,IWT008,seismic,Stations_NIED,,,,,,,,,,,,
MYGH091103111446,0.3296762910881907,0.0,38.0091,140.6027,MYGH09,seismic,Stations_NIED,,,,,,,,,,,,
IBR0151103111446,0.3273849887576293,0.0,36.0698,139.9082,IBR015,seismic,Stations_NIED,,,,,,,,,,,,
IWT0191103111446,0.3224332468274085,0.0,39.8491,141.8034,IWT019,seismic,Stations_NIED,,,,,,,,,,,,
IWTH011103111446,0.3212095873718349,0.0,40.2383,141.3423,IWTH01,seismic,Stations_NIED,,,,,,,,,,,,
TCG0081103111446,0.3168064527641962,0.0,36.56,139.7676,TCG008,seismic,Stations_NIED,,,,,,,,,,,,
FKSH081103111446,0.3150872112291155,0.0,37.2822,140.2144,FKSH08,seismic,Stations_NIED,,,,,,,,,,,,
TCG0041103111446,0.3117099111317326,0.0,36.8065,139.4221,TCG004,seismic,Stations_NIED,,,,,,,,,,,,
IBR0121103111446,0.3083295518857107,0.0,36.1901,140.2869,IBR012,seismic,Stations_NIED,,,,,,,,,,,,
CHB0041103111446,0.3066572172964269,0.0,35.8889,140.4903,CHB004,seismic,Stations_NIED,,,,,,,,,,,,
IBRH101103111446,0.3012557805162828,0.0,36.1112,139.9889,IBRH10,seismic,Stations_NIED,,,,,,,,,,,,
IWTH141103111446,0.297319675934188,0.0,39.7435,141.9087,IWTH14,seismic,Stations_NIED,,,,,,,,,,,,
TCG0051103111446,0.2961184502353,0.0,36.8061,139.9264,TCG005,seismic,Stations_NIED,,,,,,,,,,,,
IBR0081103111446,0.296068484140864,0.0,36.3061,139.9826,IBR008,seismic,Stations_NIED,,,,,,,,,,,,
IWTH281103111446,0.2949682103470609,0.0,39.0094,140.864,IWTH28,seismic,Stations_NIED,,,,,,,,,,,,
FKSH171103111446,0.2944247016055437,0.0,37.6636,140.5974,FKSH17,seismic,Stations_NIED,,,,,,,,,,,,
CHB0021103111446,0.2895973650533061,0.0,35.7871,139.9024,CHB002,seismic,Stations_NIED,,,,,,,,,,,,
IWTH121103111446,0.2894974328644343,0.0,40.1533,141.4245,IWTH12,seismic,Stations_NIED,,,,,,,,,,,,
MYGH081103111446,0.2884420265840021,0.0,38.1133,140.8441,MYGH08,seismic,Stations_NIED,,,,,,,,,,,,
KNGH101103111446,0.2824134643328766,0.0,35.4991,139.5195,KNGH10,seismic,Stations_NIED,,,,,,,,,,,,
FKS0201103111446,0.2809960587968373,0.0,37.5472,140.1075,FKS020,seismic,Stations_NIED,,,,,,,,,,,,
FKS0151103111446,0.2806677101762584,0.0,37.0237,140.3763,FKS015,seismic,Stations_NIED,,,,,,,,,,,,
MYGH061103111446,0.2685871322011088,0.0,38.5907,141.071,MYGH06,seismic,Stations_NIED,,,,,,,,,,,,
AOM0071103111446,0.2607669285637811,0.0,41.2256,141.3958,AOM007,seismic,Stations_NIED,,,,,,,,,,,,
MYG0051103111446,0.2592659062982776,0.0,38.7989,140.6512,MYG005,seismic,Stations_NIED,,,,,,,,,,,,
SITH061103111446,0.2590221941233759,0.0,36.1131,139.2894,SITH06,seismic,Stations_NIED,,,,,,,,,,,,
TKY0181103111446,0.2550575374873177,0.0,35.6553,139.8114,TKY018,seismic,Stations_NIED,,,,,,,,,,,,
IWT0181103111446,0.2535799686947126,0.0,39.6954,141.1477,IWT018,seismic,Stations_NIED,,,,,,,,,,,,
IWT0201103111446,0.2534871745193317,0.0,39.7844,141.3296,IWT020,seismic,Stations_NIED,,,,,,,,,,,,
TCG0031103111446,0.2532924087226529,0.0,36.8153,139.7184,TCG003,seismic,Stations_NIED,,,,,,,,,,,,
CHBH131103111446,0.2492981803164183,0.0,35.8307,140.298,CHBH13,seismic,Stations_NIED,,,,,,,,,,,,
CHB0281103111446,0.2492176227355931,0.0,35.7664,139.9655,CHB028,seismic,Stations_NIED,,,,,,,,,,,,
IWT0011103111446,0.2470762186883394,0.0,40.4101,141.7193,IWT001,seismic,Stations_NIED,,,,,,,,,,,,
CHB0061103111446,0.2464664283929786,0.0,35.779,140.3073,CHB006,seismic,Stations_NIED,,,,,,,,,,,,
IWT0141103111446,0.2439722025360346,0.0,39.4846,141.1466,IWT014,seismic,Stations_NIED,,,,,,,,,,,,
YMT0061103111446,0.2438926646714223,0.0,38.6001,140.4057,YMT006,seismic,Stations_NIED,,,,,,,,,,,,
IWT0161103111446,0.24081006255959,0.0,39.6,141.679,IWT016,seismic,Stations_NIED,,,,,,,,,,,,
TKY0101103111446,0.240440925290492,0.0,34.3779,139.2573,TKY010,seismic,Stations_NIED,,,,,,,,,,,,
CHBH041103111446,0.2387757287146991,0.0,35.7966,140.0206,CHBH04,seismic,Stations_NIED,,,,,,,,,,,,
CHB0241103111446,0.2367199808293356,0.0,35.6337,140.0781,CHB024,seismic,Stations_NIED,,,,,,,,,,,,
SIT0041103111446,0.2355789183870132,0.0,36.1178,139.1044,SIT004,seismic,Stations_NIED,,,,,,,,,,,,
FKS0141103111446,0.2315031126837405,0.0,36.8683,140.43,FKS014,seismic,Stations_NIED,,,,,,,,,,,,
YMTH041103111446,0.2267767280365878,0.0,38.0813,140.2978,YMTH04,seismic,Stations_NIED,,,,,,,,,,,,
