# 20200322_M5.1_Zagreb median gmf, Stations:None, gmlt:USGS, Rupture:Heraketal2021
custom_site_id,lon,lat,AkkarEtAlRjb2014,CauzziEtAl2014,ZhaoEtAl2016Asc
s_93,19.89439999999999,47.9184,0.00047897667,0.00066334463,0.0005594067
s_94,17.5428,49.7766,0.00035509077,0.0004684777,0.0002819007
t_0,15.295960000000008,44.16164,0.001973754,0.0028242487,0.0033654736
t_1,15.520540000000011,44.00031,0.0015332086,0.0022463573,0.0034429708
t_10,15.610369999999989,44.38676,0.0023820978,0.0035841386,0.005587174
t_100,14.981549999999999,44.77067,0.002176084,0.003627556,0.0054289876
t_1000,13.993410000000011,46.0944,0.0017220654,0.002929557,0.0047478573
t_1001,14.262900000000002,46.15666,0.0023432006,0.0039686104,0.006034113
t_1002,14.712060000000008,46.0944,0.004193518,0.0071834126,0.013176169
t_1003,14.622230000000002,46.0944,0.0042383326,0.007005353,0.011909455
t_1004,14.622230000000002,46.15666,0.0047343248,0.00756617,0.009838904
t_1005,14.712060000000008,46.15666,0.0046226913,0.0076599848,0.012825007
t_1006,14.801890000000014,46.15666,0.004560717,0.007838232,0.014196404
t_1007,14.622230000000002,46.21885,0.003298757,0.005708622,0.008451868
t_1008,14.712060000000008,46.21885,0.0040669315,0.006883391,0.012408296
t_1009,14.801890000000014,46.21885,0.0043612593,0.0074896137,0.013684177
t_101,15.071380000000005,44.83441,0.0021804878,0.0037799375,0.006148536
t_1010,14.801890000000014,46.28097,0.0033653092,0.006093168,0.009825588
t_1011,14.712060000000008,46.28097,0.0035894616,0.006193318,0.008945795
t_1012,14.442560000000014,46.0944,0.0034980746,0.0056998148,0.009823845
t_1013,14.532399999999996,46.15666,0.003369354,0.0056749852,0.010565166
t_1014,14.442560000000014,46.15666,0.0035824075,0.0057658483,0.009628748
t_1015,14.352730000000008,46.15666,0.003498573,0.005505609,0.008796653
t_1016,14.352730000000008,46.21885,0.0037302382,0.0057454533,0.007278108
t_1017,14.442560000000014,46.21885,0.0041952394,0.0064670267,0.007950467
t_1018,14.532399999999996,46.21885,0.0039464175,0.0063339556,0.010281896
t_1019,14.442560000000014,46.28097,0.002884749,0.0048197336,0.009121215
t_102,14.981549999999999,44.83441,0.0024206843,0.004018562,0.005847353
t_1020,14.532399999999996,46.28097,0.002572047,0.004556849,0.0074611264
t_1021,14.352730000000008,46.28097,0.0035928553,0.0055357306,0.0070841596
t_1022,14.173069999999996,46.15666,0.001962768,0.003386847,0.005535905
t_1023,14.08323999999999,46.15666,0.001840117,0.0031440272,0.0050881607
t_1024,13.993410000000011,46.15666,0.001702909,0.002893332,0.0046844957
t_1025,13.993410000000011,46.21885,0.0017225657,0.0029026761,0.0046059918
t_1026,14.262900000000002,46.21885,0.0024024292,0.0040154243,0.0059083607
t_1027,14.173069999999996,46.21885,0.002229468,0.0036982854,0.0054289764
t_1028,14.08323999999999,46.21885,0.0017975918,0.0030726378,0.00499676
t_1029,14.262900000000002,46.28097,0.0032867922,0.0050398987,0.0065108044
t_103,14.981549999999999,44.89808,0.0024773225,0.00418601,0.0062979953
t_1030,13.993410000000011,46.28097,0.0020240345,0.0032501295,0.0060249255
t_1031,14.173069999999996,46.28097,0.002277484,0.0037297108,0.0070801773
t_1032,14.622230000000002,46.28097,0.0028017845,0.0050009023,0.008161678
t_1033,14.712060000000008,46.34302,0.0029369604,0.0052626147,0.008567696
t_1034,14.801890000000014,46.34302,0.0032085117,0.0057889973,0.00937006
t_1035,14.622230000000002,46.34302,0.002697665,0.004799521,0.007845843
t_1036,14.801890000000014,46.405,0.0030480865,0.0054779416,0.008898153
t_1037,14.622230000000002,46.405,0.0028151826,0.0048821764,0.007512178
t_1038,14.712060000000008,46.405,0.0028051613,0.005007437,0.008171875
t_1039,14.801890000000014,46.46691,0.0037334699,0.006251305,0.011239404
t_104,15.071380000000005,44.89808,0.0023154158,0.0040516253,0.0066447817
t_1040,14.712060000000008,46.46691,0.002779776,0.004890522,0.0077670435
t_1041,14.08323999999999,46.28097,0.002217744,0.0035650628,0.0065268334
t_1042,14.262900000000002,46.34302,0.002514984,0.004083834,0.007474265
t_1043,14.173069999999996,46.34302,0.0023931637,0.0038371955,0.0068936227
t_1044,13.993410000000011,46.34302,0.002333582,0.0035877028,0.0058857505
t_1045,14.08323999999999,46.34302,0.0017285711,0.002941866,0.0047693546
t_1046,14.08323999999999,46.405,0.0020332856,0.00328835,0.0061899214
t_1047,14.173069999999996,46.405,0.0018023022,0.0030815746,0.0050122347
t_1048,14.262900000000002,46.405,0.0019279746,0.0033205254,0.0054229414
t_1049,13.993410000000011,46.405,0.0015857063,0.002672325,0.0042948816
t_105,15.340879999999999,44.77067,0.0023059696,0.0039993487,0.0064434763
t_1050,14.08323999999999,46.46691,0.0019404924,0.003146394,0.004496106
t_1051,14.352730000000008,46.34302,0.002131568,0.0037095037,0.006079304
t_1052,14.442560000000014,46.34302,0.0022985293,0.0040299,0.006609187
t_1053,14.532399999999996,46.34302,0.0024861458,0.0043911203,0.0071956934
t_1054,14.442560000000014,46.405,0.0022224248,0.003883718,0.00636859
t_1055,14.532399999999996,46.405,0.0023953517,0.0042161746,0.006913033
t_1056,14.352730000000008,46.405,0.0020702763,0.0035903507,0.005873565
t_1057,14.173069999999996,46.46691,0.0017529347,0.0029879885,0.0048497654
t_1058,13.993410000000011,46.46691,0.0015488148,0.0026029986,0.004171578
t_1059,13.72390999999999,46.03207,0.0018802972,0.0029119384,0.0050165956
t_106,15.161220000000014,44.77067,0.0021034866,0.0036423777,0.00595021
t_1060,13.903570000000002,46.03207,0.0020455883,0.003253461,0.0058918907
t_1061,13.813739999999996,46.03207,0.0015185291,0.0025461784,0.0040701283
t_1062,13.903570000000002,46.0944,0.0016094063,0.0027169245,0.004373931
t_1063,13.72390999999999,46.0944,0.001613959,0.0025941562,0.0037285667
t_1064,13.813739999999996,46.0944,0.0015082292,0.0025268737,0.004035581
