# 20200322_M5.1_Zagreb median gmf, Stations:None, gmlt:GEM, Rupture:Heraketal2021
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_1046,14.442560000000014,46.34302,0.003101376,0.0025171035,0.0038212703,0.0019159599,0.005020216
t_1047,14.532399999999996,46.34302,0.002772285,0.0022801552,0.0033706315,0.0017126548,0.0044875145
t_1048,14.442560000000014,46.405,0.0025709448,0.00207429,0.0031865155,0.0015882715,0.004161604
t_1049,14.532399999999996,46.405,0.0026558677,0.0021708428,0.0032492606,0.001640735,0.0042990693
t_105,15.340879999999999,44.77067,0.0026925688,0.0021773812,0.0033296547,0.001663408,0.004358478
t_1050,14.352730000000008,46.405,0.0024018378,0.0019125436,0.0030163103,0.0014838009,0.0038878694
t_1051,14.173069999999996,46.46691,0.001827909,0.0014092028,0.0023710225,0.0011292408,0.0029588477
t_1052,13.993410000000011,46.46691,0.0015895974,0.0011933143,0.0021174806,0.0009820173,0.002573091
t_1053,13.72390999999999,46.03207,0.0017198651,0.001266833,0.0023349063,0.0010624938,0.0027839562
t_1054,13.903570000000002,46.03207,0.0019258594,0.0014604143,0.0025396452,0.0011897522,0.0031174005
t_1055,13.813739999999996,46.03207,0.0015041585,0.0011241735,0.0020125832,0.0009292351,0.0024347906
t_1056,13.903570000000002,46.0944,0.0016618804,0.0012581883,0.002195098,0.0010266721,0.0026900962
t_1057,13.72390999999999,46.0944,0.0015529522,0.0011422103,0.002111398,0.0009593787,0.0025137733
t_1058,13.813739999999996,46.0944,0.0015157799,0.0011311126,0.0020312644,0.00093641446,0.0024536022
t_1059,13.903570000000002,46.15666,0.0015988306,0.0012077566,0.002116535,0.0009877214,0.002588037
t_106,15.161220000000014,44.77067,0.0027283595,0.0021780122,0.0034177704,0.0016855188,0.004416412
t_1060,13.813739999999996,46.15666,0.0015793018,0.0011760119,0.002120892,0.0009756569,0.0025564255
t_1061,13.903570000000002,46.21885,0.0015730566,0.0011849368,0.002088303,0.0009717987,0.0025463165
