# 19961009_M6.8_Cyprus median gmf, Stations:Seismic, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_255,33.83968999999999,35.41172,0.013685364,0.012829074,0.014598809,0.010194727,0.018371183
t_256,33.959209999999985,35.42746,0.012443441,0.011510979,0.0134514375,0.009268895,0.016705252
t_257,33.715059999999994,35.17423,0.02107292,0.020336617,0.021835884,0.015712546,0.028262002
t_258,33.639639999999986,35.18426,0.022567458,0.021939298,0.023213603,0.01683371,0.030254183
t_259,33.5642,35.19426,0.024106806,0.023604225,0.024620086,0.017990766,0.032302022
t_26,33.04795999999999,34.72156,0.047883134,0.04861898,0.04715843,0.045106087,0.05083116
t_260,33.68346,35.21021,0.020823497,0.020118216,0.021553503,0.015525896,0.027928699
t_261,33.60801000000001,35.22022,0.021300165,0.02072664,0.02188956,0.01588685,0.02855802
t_262,33.532550000000015,35.23021,0.023126708,0.022661492,0.023601476,0.017256154,0.03099443
t_263,33.72730999999999,35.23614,0.019474687,0.018697686,0.020283977,0.014515689,0.026127828
t_264,33.65183999999999,35.24618,0.022359222,0.021621292,0.023122339,0.016669856,0.029990349
t_265,33.57637,35.25618,0.022310972,0.021725632,0.022912081,0.016638752,0.029916877
t_266,33.69569000000001,35.27212,0.019281084,0.018527787,0.020065008,0.014370778,0.025869176
t_267,33.29406,35.19803,0.036637515,0.036833562,0.036442507,0.02742245,0.04894921
t_268,33.21858,35.20788,0.03834477,0.038793657,0.037901077,0.028710615,0.051211767
t_269,33.143100000000004,35.21769,0.035779256,0.036417715,0.035151992,0.026790574,0.04778379
t_27,32.972759999999994,34.73133,0.05296241,0.055187862,0.050826702,0.04551421,0.061629474
t_270,33.26231999999999,35.23393,0.03053187,0.0307004,0.030364268,0.022831187,0.0408299
t_271,33.18682000000001,35.24376,0.032512374,0.032890048,0.032139037,0.024315748,0.04347201
t_272,33.30608999999998,35.25997,0.029878521,0.029857991,0.029899064,0.022320105,0.039996497
t_273,33.23057,35.26982,0.029971235,0.030132469,0.02981086,0.02239366,0.04011291
t_274,33.15505000000002,35.27964,0.03231829,0.032679856,0.031960722,0.024147728,0.043253418
t_275,33.274339999999995,35.29586,0.022189317,0.022170257,0.022208393,0.01656651,0.02972055
t_276,33.198800000000006,35.3057,0.027948141,0.028085968,0.027810989,0.020867676,0.037431028
t_277,33.41329000000002,35.21416,0.028082855,0.027877498,0.028289724,0.020981565,0.0375876
t_278,33.33780999999999,35.22406,0.029444735,0.029421221,0.029468268,0.02201025,0.039390396
t_279,33.45706999999999,35.24016,0.02417126,0.023845963,0.024500992,0.018043304,0.03238042
t_28,33.09147999999999,34.74771,0.043626204,0.04392072,0.04333366,0.041719973,0.045619532
t_280,33.38159000000002,35.25008,0.02647908,0.02629439,0.026665067,0.01977412,0.03545754
t_281,33.500879999999995,35.26615,0.021675916,0.021250768,0.022109572,0.016170332,0.02905601
t_282,33.42537999999999,35.27609,0.01945918,0.019203067,0.019718708,0.01452128,0.02607619
t_283,33.34986000000001,35.28599,0.021019252,0.020874215,0.021165296,0.015689861,0.028158883
t_284,33.46919,35.30208,0.022191575,0.021762244,0.022629375,0.016551519,0.029753525
t_285,33.39366000000001,35.312,0.023342218,0.023036124,0.02365238,0.01741369,0.031289127
t_286,33.31811999999999,35.32189,0.024792394,0.024616532,0.024969513,0.018498875,0.033227038
t_287,33.620209999999986,35.28214,0.020029303,0.019381396,0.02069887,0.014931597,0.026867388
t_288,33.54471000000001,35.29213,0.020027272,0.019511236,0.020556955,0.014933616,0.026858306
t_289,33.664060000000006,35.30808,0.018684922,0.017966613,0.019431949,0.013925703,0.025070643
t_29,33.01626999999999,34.75749,0.05099275,0.05244782,0.049578052,0.045536224,0.057103127
t_290,33.58855,35.31809,0.018756324,0.018157905,0.019374466,0.01398134,0.025162088
t_291,33.51301999999998,35.32806,0.020898098,0.020364756,0.02144541,0.015580746,0.028030142
t_292,33.70794000000001,35.33401,0.015163417,0.014488378,0.015869908,0.01129905,0.020349428
t_293,33.63240999999999,35.34403,0.018288812,0.017593421,0.019011687,0.013629662,0.02454064
t_294,33.6763,35.36997,0.01639402,0.015670758,0.017150661,0.012215543,0.022001795
t_295,33.24257,35.33175,0.022501772,0.022472134,0.022531452,0.016791461,0.030154003
t_296,33.167010000000005,35.34157,0.027472818,0.027587652,0.027358463,0.020501185,0.036815226
t_297,33.437479999999994,35.338,0.021172127,0.02076314,0.021589167,0.015787898,0.028392565
t_298,33.07951,35.28943,0.03251471,0.03305745,0.031980876,0.024290582,0.0435233
t_299,33.003960000000006,35.29918,0.035075523,0.035841413,0.034326002,0.026195632,0.046965554
t_3,33.28541999999999,34.75414,0.035846684,0.03648369,0.035220798,0.028716367,0.044747468
t_30,33.059799999999996,34.78363,0.040170286,0.041041236,0.03931782,0.0360345,0.044780754
t_300,33.123249999999985,35.3155,0.0298902,0.030201986,0.02958163,0.022316523,0.040034194
t_301,33.047680000000014,35.32528,0.02840727,0.028850114,0.027971225,0.0212056,0.038054712
