STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
UKOP,UKOP,26.6322,41.1288,seismic,352.06,3.4,0.63,0.0,0.005381,0.0,1.0098,0.0,0.007074,0.0,0.010394,0.0,0.002959,inferred,Stations_USGS
YENI,YENI,27.2416,39.9364,seismic,383.33,3.4,0.63,0.0,0.006772,0.0,0.7683,0.0,0.016939,0.0,0.013245,0.0,0.001956,inferred,Stations_USGS
YKAV,YKAV,27.2801,37.1246,seismic,600.0,4.5,0.63,0.0,0.018192,0.0,4.1235,0.0,0.044218,0.0,0.030616,0.0,0.006311,inferred,Stations_USGS
YKBL,YKBL,28.6675,40.9908,seismic,418.93,3.4,0.63,0.0,0.003337,0.0,0.6601,0.0,0.004835,0.0,0.008118,0.0,0.005045,inferred,Stations_USGS
YLVH,YLVH,29.3703,40.6953,seismic,600.0,3.8,0.63,0.0,0.00615,0.0,1.6736,0.0,0.009311,0.0,0.014815,0.0,0.014447,inferred,Stations_USGS
MALA,Malamata,21.8726,38.3934,seismic,352.81,3.1,0.63,0.0,0.002041,0.0,0.6541,0.0,0.002211,0.0,0.004664,0.0,0.00217,inferred,Stations_USGS
ROD3,Rodini,21.892,38.3081,seismic,610.48,2.4,0.63,0.0,0.001074,0.0,0.1771,0.0,0.002497,0.0,0.003304,0.0,0.000563,inferred,Stations_USGS
DION,"Dionisos, Attiki, Greece",23.9331,38.0779,seismic,547.58,3.0,0.63,0.0,0.010011,0.0,0.5287,0.0,0.010566,0.0,0.005829,0.0,0.002794,inferred,Stations_USGS
DLFA,"Delfoi, Greece",22.4958,38.4784,seismic,900.0,2.6,0.63,0.0,0.00082,0.0,0.2992,0.0,0.001184,0.0,0.001903,0.0,0.000973,inferred,Stations_USGS
KARP,"NOA/RUB/GEOFON Karpathos,Greece",27.1611,35.5471,seismic,900.0,2.6,0.63,0.0,0.00094,0.0,0.2949,0.0,0.00165,0.0,0.002756,0.0,0.001181,inferred,Stations_USGS
KYMI,"Kymi, Euboea Island",24.1001,38.6331,seismic,703.93,3.0,0.63,0.0,0.001101,0.0,0.422,0.0,0.002006,0.0,0.002305,0.0,0.001491,inferred,Stations_USGS
PATC,"Patra,Greece",21.76,38.2693,seismic,498.44,3.1,0.63,0.0,0.001647,0.0,0.5876,0.0,0.001756,0.0,0.002989,0.0,0.004821,inferred,Stations_USGS
PATG,"Patra,Greece",21.7266,38.2386,seismic,339.62,3.4,0.63,0.0,0.001946,0.0,0.9401,0.0,0.002067,0.0,0.004157,0.0,0.004785,inferred,Stations_USGS
PLG,"Poligiros,Chalkidiki,Greece",23.4444,40.3733,seismic,502.23,null,null,,,,,,,,,,,inferred,Stations_USGS
RDO,"Gratini, Thrace, Greece",25.5355,41.145,seismic,560.66,null,null,0.0,1e-06,null,null,null,,null,,null,,inferred,Stations_USGS
RIOA,"Rio,Greece",21.7912,38.2959,seismic,407.32,3.0,0.63,0.0,0.001011,0.0,0.4954,0.0,0.001241,0.0,0.002872,0.0,0.001751,inferred,Stations_USGS
RODB,"Rodos,Rodos Island,Greece",28.2212,36.4471,seismic,397.04,3.9,0.63,0.0,0.005631,0.0,2.0156,0.0,0.008949,0.0,0.01809,0.0,0.012891,inferred,Stations_USGS
SMTH,"Samothraki Island, Greece",25.5304,40.4709,seismic,900.0,2.3,0.63,0.0,0.000901,0.0,0.17,0.0,0.001782,0.0,0.002308,0.0,0.000658,inferred,Stations_USGS
ALAN,Alanya-ANTALYA,32.0327,36.557,seismic,587.78,2.6,0.63,0.0,0.000989,0.0,0.2378,0.0,0.00212,0.0,0.001931,0.0,0.001472,inferred,Stations_USGS
ALT,ALTINTAS-KUTAHYA,30.1103,39.0552,seismic,488.02,3.4,0.63,0.0,0.001869,0.0,0.9137,0.0,0.002928,0.0,0.003709,0.0,0.003318,inferred,Stations_USGS
