# 19961009_M6.8_Cyprus median gmf, Stations:None, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_265,33.57637,35.25618,0.014211972,0.012404789,0.016282436,0.008779835,0.023005007
t_266,33.69569000000001,35.27212,0.012276763,0.010573261,0.014254724,0.0075843064,0.019872472
t_267,33.29406,35.19803,0.023399372,0.021100976,0.025948117,0.014455602,0.037876707
t_268,33.21858,35.20788,0.024496121,0.022231162,0.026991839,0.015133149,0.03965202
t_269,33.143100000000004,35.21769,0.022857718,0.020870231,0.025034476,0.014120981,0.03699993
t_27,32.972759999999994,34.73133,0.03738338,0.03586949,0.03896117,0.023094608,0.06051271
t_270,33.26231999999999,35.23393,0.0194867,0.017572463,0.021609463,0.012038442,0.03154324
t_271,33.18682000000001,35.24376,0.020752948,0.018828316,0.022874316,0.012820701,0.033592924
t_272,33.30608999999998,35.25997,0.01905579,0.01707454,0.021266934,0.011772235,0.030845724
t_273,33.23057,35.26982,0.019117575,0.017234525,0.02120637,0.011810405,0.030945737
t_274,33.15505000000002,35.27964,0.020614933,0.018691817,0.02273591,0.012735439,0.03336952
t_275,33.274339999999995,35.29586,0.014145906,0.012671577,0.015791772,0.008739021,0.022898065
t_276,33.198800000000006,35.3057,0.017818226,0.016053898,0.019776452,0.011007696,0.02884247
t_277,33.41329000000002,35.21416,0.017912334,0.015943976,0.020123698,0.011065834,0.028994806
t_278,33.33780999999999,35.22406,0.018787904,0.016834691,0.020967735,0.011606742,0.030412095
t_279,33.45706999999999,35.24016,0.015407608,0.013627324,0.017420469,0.009518472,0.02494039
t_28,33.09147999999999,34.74771,0.033270497,0.031474873,0.035168562,0.02055376,0.05385516
t_280,33.38159000000002,35.25008,0.01688369,0.015032147,0.01896329,0.010430361,0.027329732
t_281,33.500879999999995,35.26615,0.013810651,0.012137208,0.015714822,0.008531908,0.022355385
t_282,33.42537999999999,35.27609,0.012401144,0.010970885,0.014017863,0.007661146,0.020073809
t_283,33.34986000000001,35.28599,0.013398075,0.011928675,0.015048477,0.008277027,0.021687545
t_284,33.46919,35.30208,0.014137036,0.012426934,0.01608247,0.008733541,0.022883708
t_285,33.39366000000001,35.312,0.014872502,0.0131571,0.016811555,0.009187895,0.02407421
t_286,33.31811999999999,35.32189,0.015798539,0.014062063,0.017749446,0.009759979,0.025573192
t_287,33.620209999999986,35.28214,0.01275512,0.0110625215,0.014706693,0.007879824,0.020646792
t_288,33.54471000000001,35.29213,0.012756012,0.011139041,0.014607707,0.007880376,0.020648235
t_289,33.664060000000006,35.30808,0.0118967155,0.0102525195,0.013804591,0.007349522,0.019257287
t_29,33.01626999999999,34.75749,0.037007183,0.03530533,0.038791068,0.0228622,0.059903752
t_290,33.58855,35.31809,0.011943676,0.01036332,0.013765028,0.007378532,0.019333301
t_291,33.51301999999998,35.32806,0.013309301,0.011624808,0.015237884,0.008222185,0.021543847
t_292,33.70794000000001,35.33401,0.009653266,0.00826628,0.01127297,0.0059635686,0.0156258
t_293,33.63240999999999,35.34403,0.011644002,0.010039006,0.0135055985,0.007193401,0.018848218
t_294,33.6763,35.36997,0.010436381,0.008940553,0.012182473,0.00644736,0.016893433
t_295,33.24257,35.33175,0.014339953,0.0128383,0.016017249,0.008858898,0.023212168
t_296,33.167010000000005,35.34157,0.017508022,0.015760921,0.019448789,0.010816059,0.028340343
t_297,33.437479999999994,35.338,0.013485581,0.011854173,0.015341508,0.0083310865,0.021829193
t_298,33.07951,35.28943,0.020737808,0.01890501,0.022748293,0.012811349,0.03356842
t_299,33.003960000000006,35.29918,0.02236612,0.020491362,0.0244124,0.013817282,0.036204174
t_3,33.28541999999999,34.75414,0.024048174,0.022238875,0.026004672,0.014856417,0.038926926
t_30,33.059799999999996,34.78363,0.02924859,0.027741425,0.030837638,0.018069116,0.04734487
t_300,33.123249999999985,35.3155,0.019055633,0.01726256,0.021034952,0.011772138,0.030845469
t_301,33.047680000000014,35.32528,0.018107919,0.01648721,0.019887947,0.011186663,0.0293114
t_302,32.97210999999999,35.33501,0.023633547,0.021620404,0.025834141,0.01460027,0.038255766
t_303,33.09143,35.35136,0.01828866,0.016548228,0.02021214,0.01129832,0.029603967
t_304,33.01584,35.36111,0.018711297,0.017011687,0.02058071,0.011559416,0.03028809
t_305,32.50979000000001,34.7271,0.12150419,0.12260664,0.12041165,0.075062536,0.19667958
t_306,32.61681999999999,34.68169,0.08305202,0.08306763,0.0830364,0.051307656,0.1344368
t_307,32.66023000000001,34.70794,0.08081297,0.08038107,0.08124719,0.049924422,0.13081245
t_308,32.585019999999986,34.71754,0.09051023,0.09071134,0.09030956,0.05591517,0.14650945
