STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
obs_380,OKTONIA-(OCHTHONIA)  EVIA(1138),24.176,38.533,macroseismic,900.0,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
OBS_53,Antirrion,21.75,38.32,macroseismic,600.0,5.0,0.3,0.8059,0.08195,0.875,5.6645,1.0131,0.177679,1.0822,0.061675,1.4737,0.01312,inferred,Stations_USGS
OBS_160,Katafygion,21.88,38.52,macroseismic,900.0,5.0,0.3,0.8059,0.084107,0.875,5.6645,1.0131,0.180122,1.0822,0.0607,1.4737,0.012888,inferred,Stations_USGS
obs_144,PHILIA  ACHAIA(317),22.115,37.837,macroseismic,900.0,4.0,0.3,0.8059,0.039528,0.875,2.1544,1.0131,0.044284,1.0822,0.019927,1.4737,0.003425,inferred,Stations_USGS
obs_405,DAPHNI  VIOTIA(233),23.418,38.238,macroseismic,811.16,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
OBS_145,Kalyvia,23.82,37.87,macroseismic,606.5,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
obs_362,KOMPOTI  AITOLOAKARNANIA(516),21.04,38.755,macroseismic,621.58,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
OBS_225,Makrykapa,23.72,38.62,macroseismic,688.1,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
obs_113,KLEITORIA  ACHAIA(999),22.205,37.949,macroseismic,900.0,4.5,0.3,0.8059,0.058702,0.875,3.9349,1.0131,0.097557,1.0822,0.038678,1.4737,0.007894,inferred,Stations_USGS
OBS_231,Manna,22.5,37.97,macroseismic,900.0,5.0,0.3,0.8059,0.079865,0.875,5.6645,1.0131,0.175288,1.0822,0.062657,1.4737,0.013355,inferred,Stations_USGS
obs_291,ARPHARA  MESSINIA(1247),22.107,37.159,macroseismic,707.57,4.0,0.3,0.8059,0.022944,0.875,2.1544,1.0131,0.032096,1.0822,0.026743,1.4737,0.005327,inferred,Stations_USGS
obs_32,EFPALIO  PHOKIDA(781),21.931,38.449,macroseismic,900.0,5.5,0.3,0.8059,0.12391,0.875,8.1544,1.0131,0.247607,1.0822,0.086157,1.4737,0.017929,inferred,Stations_USGS
OBS_81,Dafni,22.92,36.5,macroseismic,600.0,4.0,0.3,0.8059,0.016626,0.875,2.1544,1.0131,0.026977,1.0822,0.031346,1.4737,0.006762,inferred,Stations_USGS
OBS_7,Agioi Pantes,22.28,38.37,macroseismic,900.0,6.5,0.3,0.8059,0.292711,0.875,16.8985,1.0131,0.489204,1.0822,0.164798,1.4737,0.032732,inferred,Stations_USGS
